,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breader_crossover|merge_and_split,tournament_selection|twin_maker|the_hop,tournament_selection|twin_maker|swap_mutation,fps|twin_maker|merge_and_split,fps|gbx_crossover|merge_and_split,fps|eager_breader_crossover|merge_and_split,fps|twin_maker|the_hop,fps|twin_maker|swap_mutation,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breader_crossover|merge_and_split,ranking_selection|twin_maker|the_hop,ranking_selection|twin_maker|swap_mutation
56,54680.0,76530.0,77250.0,47210.0,52610.0,46460.0,78940.0,79570.0,51580.0,51480.0,47990.0,78950.0,79550.0,50900.0,50560.0
57,54810.0,76530.0,77250.0,47210.0,52930.0,46580.0,78940.0,79570.0,52050.0,51780.0,48600.0,78970.0,79550.0,51260.0,50740.0
58,54940.0,76530.0,77250.0,47210.0,52930.0,46750.0,79060.0,79570.0,52160.0,52040.0,48700.0,78970.0,79550.0,51540.0,50970.0
59,55080.0,76530.0,77250.0,47340.0,52930.0,46820.0,79060.0,79570.0,52210.0,52570.0,49370.0,78970.0,79550.0,51690.0,51230.0
60,55190.0,76530.0,77250.0,47370.0,53060.0,47800.0,79240.0,79570.0,52360.0,52610.0,49930.0,78980.0,79550.0,52220.0,51880.0
61,55260.0,76530.0,77250.0,47370.0,53070.0,48100.0,79260.0,79570.0,52820.0,53150.0,50280.0,78980.0,79550.0,52290.0,52690.0
62,55310.0,76530.0,77250.0,47520.0,53070.0,48300.0,79270.0,79570.0,53200.0,53590.0,50480.0,78980.0,79550.0,52360.0,53060.0
63,55470.0,76530.0,77250.0,47550.0,53070.0,48420.0,79300.0,79570.0,53200.0,53830.0,50480.0,79010.0,79550.0,52700.0,53210.0
64,55530.0,76530.0,77250.0,47670.0,53070.0,48420.0,79410.0,79570.0,53240.0,53850.0,50890.0,79050.0,79550.0,53280.0,53370.0
65,55540.0,76530.0,77250.0,47670.0,53070.0,48580.0,79460.0,79570.0,53390.0,53980.0,50970.0,79110.0,79550.0,53280.0,53530.0
66,55780.0,76530.0,77250.0,47670.0,53070.0,48580.0,79470.0,79570.0,53640.0,54160.0,51330.0,79120.0,79550.0,53400.0,53610.0
67,55910.0,76530.0,77250.0,47730.0,53070.0,48690.0,79470.0,79570.0,53910.0,54580.0,51590.0,79210.0,79550.0,53620.0,54310.0
68,56100.0,76530.0,77250.0,47730.0,53070.0,48730.0,79490.0,79570.0,54220.0,54610.0,52240.0,79210.0,79550.0,53620.0,54510.0
69,56100.0,76530.0,77250.0,47730.0,53190.0,48870.0,79530.0,79570.0,54220.0,54790.0,52320.0,79210.0,79550.0,53730.0,54750.0
