,tournament_selection|gbx_crossover|swap_mutation,tournament_selection|eager_breeder_crossover|swap_mutation,tournament_selection|twin_maker|the_hop,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breeder_crossover|the_hop,tournament_selection|twin_maker|dream_team,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|dream_team,fps|gbx_crossover|swap_mutation,fps|eager_breeder_crossover|swap_mutation,fps|twin_maker|the_hop,fps|gbx_crossover|merge_and_split,fps|eager_breeder_crossover|the_hop,fps|twin_maker|dream_team,fps|twin_maker|merge_and_split,fps|gbx_crossover|dream_team,ranking_selection|gbx_crossover|swap_mutation,ranking_selection|eager_breeder_crossover|swap_mutation,ranking_selection|twin_maker|the_hop,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breeder_crossover|the_hop,ranking_selection|twin_maker|dream_team,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|dream_team
55,76946.6667,78370,48340,77036.6667,78566.6667,52286.6667,53343.3333,76556.6667,78906.6667,79836.6667,49693.3333,78800,79520,45060,48026.6667,79070,78980,79793.3333,46413.3333,78453.3333,79623.3333,40273.3333,44966.6667,78076.6667
56,76946.6667,78370,48340,77036.6667,78566.6667,52386.6667,53426.6667,76556.6667,78930,79836.6667,49876.6667,78830,79520,45296.6667,48106.6667,79086.6667,78996.6667,79793.3333,46756.6667,78583.3333,79623.3333,40433.3333,45746.6667,78116.6667
57,76946.6667,78370,48340,77036.6667,78566.6667,52386.6667,53610,76556.6667,78940,79846.6667,50076.6667,78856.6667,79520,45460,48633.3333,79206.6667,79036.6667,79793.3333,47253.3333,78666.6667,79623.3333,40433.3333,45926.6667,78220
58,76946.6667,78370,48340,77036.6667,78566.6667,52386.6667,53670,76556.6667,78950,79846.6667,50216.6667,78903.3333,79520,45596.6667,48893.3333,79226.6667,79070,79793.3333,47673.3333,78736.6667,79623.3333,40680,46133.3333,78316.6667
59,76946.6667,78370,48340,77036.6667,78566.6667,52400,53856.6667,76556.6667,78966.6667,79846.6667,50330,78923.3333,79520,45606.6667,48993.3333,79290,79103.3333,79793.3333,47763.3333,78760,79626.6667,40706.6667,46693.3333,78340
60,76946.6667,78370,48340,77036.6667,78566.6667,52440,54050,76556.6667,78983.3333,79846.6667,50616.6667,78950,79520,45716.6667,49303.3333,79333.3333,79113.3333,79793.3333,48126.6667,78780,79636.6667,40710,47303.3333,78356.6667
61,76946.6667,78370,48340,77036.6667,78566.6667,52440,54280,76556.6667,79003.3333,79846.6667,50690,78966.6667,79520,45813.3333,49566.6667,79353.3333,79126.6667,79793.3333,48230,78816.6667,79636.6667,40773.3333,47366.6667,78393.3333
62,76946.6667,78370,48340,77036.6667,78566.6667,52440,54360,76556.6667,79016.6667,79846.6667,50830,79010,79533.3333,46206.6667,49616.6667,79376.6667,79143.3333,79793.3333,48406.6667,78896.6667,79640,40773.3333,47413.3333,78400
63,76946.6667,78370,48370,77036.6667,78566.6667,52633.3333,54573.3333,76556.6667,79056.6667,79846.6667,50940,79010,79533.3333,46360,49703.3333,79393.3333,79186.6667,79793.3333,48776.6667,78906.6667,79653.3333,40833.3333,47670,78413.3333
64,76946.6667,78370,48370,77036.6667,78566.6667,52713.3333,54700,76556.6667,79060,79846.6667,51003.3333,79100,79533.3333,46456.6667,49900,79426.6667,79246.6667,79793.3333,49113.3333,78936.6667,79653.3333,40920,47810,78470
